minimum_nights,number_of_reviews,availability_365,amenity_score,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Unknown,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_Unknown
-0.3052815711778505,-0.44391039229936713,-0.6453067029264479,-0.10634659234289488,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.10052902092874304,0.41325743574314755,-0.8592008802842542,-0.6615096699004318,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2540934336155736,-0.44391039229936713,-0.8668399580470331,0.11156788669838136,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.3052815711778505,-0.44391039229936713,1.0734857936987823,-0.93130854871344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.049340883366466165,0.1876869546793279,1.0505685604104458,0.6771078442102642,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0256100054413482,-0.511581536618513,-0.8668399580470331,1.263401561630841,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2540934336155736,1.5636668891686276,1.6005821593305194,-0.2360575917722259,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.1517171584910199,-0.534138584724895,-0.8668399580470331,0.5318315248494135,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0018472541958106992,-0.534138584724895,0.3324952507092386,0.08562568681251516,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3052815711778505,-0.534138584724895,-0.7828101026564662,0.5110777649407207,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2540934336155736,-0.511581536618513,-0.8668399580470331,0.8638916833885012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2540934336155736,1.383210504317572,1.463078759600501,0.9884142428406586,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.3052815711778505,0.6613849649133492,-0.8668399580470331,-0.07521595247985537,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.10052902092874304,-0.2183399112355475,1.4707178373632799,-1.055831108165598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18.071259813679543,-0.511581536618513,-0.8668399580470331,0.7653113238222093,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.2540934336155736,-0.4890244885121311,-0.8668399580470331,-0.27756511158961167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3052815711778505,-0.534138584724895,-0.8668399580470331,-1.1388461478003697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.1791744181281787,-0.534138584724895,1.768641870111653,2.072798198069866,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1554116668826413,-0.4890244885121311,-0.6300285474008902,0.6615425242787446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2540934336155736,1.383210504317572,1.4936350706516162,-0.2723766716124387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2540934336155736,0.9320695421899327,1.9137843476044503,-1.1129039479145035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2540934336155736,-0.1506687669164016,-0.6605848584520054,-0.7964091093069358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3052815711778505,-0.534138584724895,-0.8668399580470331,-1.144034587777543,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.20290529605329677,-0.44391039229936713,-0.17932295939694104,0.40212052542008253,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.20290529605329677,-0.3987962960866032,-0.8668399580470331,0.13751008658424757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.20290529605329677,-0.534138584724895,-0.8668399580470331,0.9261529631145803,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.20290529605329677,-0.37623924798022124,1.8908671143161138,-0.7237709496265105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.20290529605329677,-0.4213533441929852,-0.8668399580470331,-0.4228414309504626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3052815711778505,1.2253111675728983,0.41652510609980536,-0.5681177503113132,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.3052815711778505,-0.4890244885121311,-0.8668399580470331,-0.44878363083632883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3052815711778505,-0.534138584724895,-0.8668399580470331,-1.8029664648785444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.66729304250541,-0.44391039229936713,-0.8668399580470331,0.0648719269038219,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.1517171584910199,-0.4664674404057491,-0.8668399580470331,0.708238484073304,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
